0|smarts|desc
Spiro-piperidine_formation - inverse|[C&$([C&H1](-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]):18]-[C:16](=[O:17])-[c:14]1[c:9][c:10][c:11][c:12][c:13]1-[O&H1:15].[N&$(N-,:[C&X4]),N&$([N&H1]):5]1-[C&$(C(-,:C)(-,:N)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:N)-,:[C&X4]),C&$([C&H2](-,:C)-,:N):4]-[C&$(C(-,:C)(-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:C)-,:[C&X4]),C&$([C&H2](-,:C)-,:C):3]-[C:2](=[O:7])-[C&$(C(-,:C)(-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:C)-,:[C&X4]),C&$([C&H2](-,:C)-,:C):1]-[C&$(C(-,:C)(-,:N)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:N)-,:[C&X4]),C&$([C&H2](-,:C)-,:N):6]-1>>[N:5]1-[C:4]-[C:3][C:2]2(-,:[C:1]-[C:6]-1)[C:18]-[C:16](=[O:17])-[c:14]1[c:9][c:10][c:11][c:12][c:13]1-[O:15]2|
Pyrazol_formation - inverse|[C&$([C&H1](-,:C)(-,:C)-,:[C&X4]),C&$([C&H2](-,:C)-,:C):6](-[C&$(C(=O)(-,:C)-,:[C&X4]),C&$([C&H1](=O)-,:C):5]=[O:9])-[C&$(C(=O)(-,:C)-,:[C&X4]),C&$([C&H1](=O)-,:C):7]=[O:10].[N&H2,N&H3&+:3]-[N&$([N&H1](-,:N)-,:[C&X4]):2]>>[c:7]1[n:3][n:2][c:5][c:6]1|
Phthalazinone - inverse|[O&H1,O&-:12]-[C:10](=[O:11])-[c:5]1[c:4][c:9][c:8][c:7][c:6]1-[C&$(C(-,:c)(=O)-,:[C&X4]),C&$([C&H1](-,:c)=O):13]=[O:14].[N&H2,N&H3&+:2]-[N&$([N&H1](-,:N)-,:[C&X4]):1]>>[N:1]1-[N:2]=[C:13][c:6]2[c:7][c:8][c:9][c:4][c:5]2-[C:10]-1=[O:11]|
Triaryl-imidazol-1_2-diketone - inverse|[O:24]=[C:23](-[C:22](=[O:25])-[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1.[C&H1:7](=[O:8])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[n&H1:27]1[c:7](-,:[n:26][c:23](-,:[c:22]-1[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1)-[c:1]1[c:2][c:3][c:4][c:5][c:6]1|
Triaryl-imidazol-alpha_hydroxy_ketone - inverse|[O:24]=[C:23](-[C&H1:22](-[O&H1:25])-[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1.[C&H1:7](=[O:8])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[n&H1:27]1[c:7](-,:[n:26][c:23](-,:[c:22]-1[c:15]1[c:10][c:11][c:12][c:13][c:14]1)-[c:20]1[c:21][c:16][c:17][c:18][c:19]1)-[c:1]1[c:2][c:3][c:4][c:5][c:6]1|
Fischer_indole - inverse|[N&H2:6]-[N&H1:7]-[c:9]1[c:10][c:11][c:12][c:13][c&H1:8]1.[C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):4]-[C&$(C(-,:[C&X4])(=O)-,:[C&X4]),C&$([C&H1](-,:[C&X4])=O):3]=[O:1]>>[c:3]1[n&H1:7][c:9]2[c:10][c:11][c:12][c:13][c:8]2[c:4]1|
Friedlaender_chinoline_formation - inverse|[N&H2:12]-[c:10]1[c:9][c:8][c:7][c:6][c:11]1-[C&$(C(-,:c)(=O)-,:[C&X4]),C&$([C&H1](-,:c)=O):13]=[O:14].[C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):4]-[C&$(C(-,:[C&X4])(=O)-,:[C&X4]),C&$([C&H1](-,:[C&X4])=O):2]=[O:1]>>[c:2]1[c:13][c:11]2[c:6][c:7][c:8][c:9][c:10]2[n:12][c:4]1|
Peachmann_coumarine - inverse|[O&$(O(-,:C)-,:[C&X4]):12]-[C:11](=[O:15])-[C&$([C&H1](-,:C)(-,:C)-,:[C&X4]),C&$([C&H2](-,:C)-,:C):10]-[C:8]=[O:16].[O&H1:7]-[c:6]1[c&H1:1][c:2][c:3][c:4][c:5]1>>[C:8]1=[C:10]-[C:11](=[O:15])-O-[c:6]2[c:5][c:4][c:3][c:2][c:1]2-1|
Benzofuran_formation - inverse|[O&H1:11]-[c:8]1[c:7][c:6][c:5][c:4][c:9]1[I:10].[C&$(C(#C)-,:[C&X4]),C&$([C&H1]#C):2]#[C&H1:1]>>[c:2]1[c:1][c:9]2[c:4][c:5][c:6][c:7][c:8]2[o:11]1|
Flavone_formation - inverse|[C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):18]-[C:16](=[O:17])-[c:14]1[c:13][c:12][c:11][c:10][c:15]1-[O&H1:19].[Cl:9][C:7](=[O:8])-[c:3]1[c:2][c:1][c:6][c:5][c:4]1>>[O:17]=[C:16]1-[C:18]=[C:7](-[O:8]-[c:15]2[c:10][c:11][c:12][c:13][c:14]2-1)-[c:3]1[c:2][c:1][c:6][c:5][c:4]1|
Oxadiazole_formation - inverse|[N:12]#[C:11][c:10]1[c:5][c:6][c:7][c:8][c:9]1.[O&H1,O&-:3]-[C&$(C(=O)(-,:O)[C&X4]),C&$([C&H1](=O)-,:O):2]=[O:1]>>[c:2]1[n:12][c:11](-,:[n:13][o:1]1)-[c:10]1[c:5][c:6][c:7][c:8][c:9]1|
Michael_addition - inverse|[C&$(C(-,:C)#N),C&$(C(-,:C)(-,:[C&X4,O&X2&H0])(-,:[C&X4,O&X2&H0])-,:[O&X2&H0]),C&$([C&H1](-,:C)(-,:[C&X4,O&X2&H0])-,:[O&X2&H0]),C&$([C&H2](-,:C)-,:[O&X2&H0]),C&$(C(-,:C)(=O)-,:[O&X2&H0]):6][C&H1:5]=[C&$(C(=C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](=C)-,:[C&X4]),C&$([C&H2]=C):4].[C&$(C(-,:C)(=O)-,:[C&X4,O&X2&H0]),C&$(C(-,:C)#N),N&$([N&+](-,:C)(=O)-,:[O&-]):1][C&$([C&H1](-,:[C,N])(-,:[C,N])-,:[C&X4]),C&$([C&H2](-,:[C,N])-,:[C,N]):2][C&$(C(-,:C)(=O)-,:[C&X4,O&X2&H0]),C&$(C(-,:C)#N),N&$([N&+](-,:C)(=O)-,:[O&-]):3]>>[C:6][C:5][C:4][C:2](-,:[C:1])[C:3]|
Cross_Claissen - inverse|[C&$([C&H1](-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):7]-[C&$(C(=O)-,:[C&X4]),C&$([C&H1]=O):8]=[O:9].[C&$(C(-,:O)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:O)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:O)-,:[C&X4]):4]-[O:3]-[C&$(C(=O)-,:[C&X4]),C&$([C&H1]=O):2]=[O:5]>>[C:7](-[C:2]=[O:5])-[C:8]=[O:9]|
Williamson_ether - inverse|[O&H1:3][C&$(C(-,:O)(-,:[C&X4,c])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](-,:O)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:O)-,:[C&X4,c]),C&$([C&H3]-,:[O&H1]),c&$(c(-,:[O&H1])(-,:[c,n,o])-,:[c,n,o]):4].[Br,Cl,I:1][C&$(C(-,:[Br,Cl,I])(-,:[C&X4,c])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](-,:[Br,Cl,I])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:[Br,Cl,I])-,:[C&X4,c]),C&$([C&H3]-,:[Br,Cl,I]),c&$(c(-,:[Br,Cl,I])(-,:[c,n,o])-,:[c,n,o]):2]>>[C,c:2][O:3][C,c:4]|
Ester_formation - inverse|[O&$([O&H1]-,:[C&X4,c]),O&$([O&H1](-,:[C&X4,c])-,:[C&X4,c]),S&$([S&H1]-,:[C&X4,c]),S&$([S&H1](-,:[C&X4,c])-,:[C&X4,c]):6].[Cl,O&H1,O&-:3][C&$(C(=O)-,:[C&X4,c]),C&$([C&H1]=O):2]=[O:4]>>[*:6]-[C:2]=[O:4]|
Reductive_amination-Ketone - inverse|[N&$([N&H2,N&H3&+]-,:[C&X4,c]),N&$([N&H1](-,:[C&X4,c])-,:[C&X4,c]):3].[C&$(C(=O)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](=O)-,:[C&X4,c]):1]=[O:2]>>[N&+0:3][C:1]|
Suzuki_coupling - inverse|[C&$(C(-,:B)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:B)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:B)-,:[C&X4]),C&$([C&H2]-,:B),C&$(C(-,:B)=C),c&$(c-,:B),o&$(o-,:B),n&$(n-,:B):3][B&$(B(-,:[C,c,n,o])(-,:[O&H1,$(OC)])-,:[O&H1,$(OC)]),B&$([B&-](-,:[C,c,n,o])(-,:N)(-,:[O&H1,$(OC)])-,:[O&H1,$(OC)]):4].[Br:1][c&$(c-,:Br),n&$(n-,:Br),o&$(o-,:Br),C&$([C&H1](-,:Br)=C):2]>>[C,c,n,o:2][C,c,n,o:3]|
Piperidine_and_Indole - inverse|[N:17]1-[C&X4:16]-[C&H1:15]-[C:14](=[O:20])-[C&X4:19]-[C&X4:18]-1.[c&H1:9]1[c:8][n:7][c:5]2[c:4][c:3][c:2][c:1][c:6]12>>[N:17]1-[C:18]-[C:19]-[C:14](=[C:15]-[C:16]-1)-[c:9]1[c:8][n:7][c:5]2[c:4][c:3][c:2][c:1][c:6]12|
Negishi - inverse|[Br,I:3][C&$(C(-,:[Br,I])(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:[Br,I])(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:[Br,I])-,:[C&X4]),C&$([C&H3]-,:[Br,I]),C&$(C(-,:[Br,I])(=C)-,:[C&X4]),C&$([C&H1](-,:[Br,I])=C),C&$(C(-,:[Br,I])#C),c&$(c-,:[Br,I]):4].[Br,I:1][C&$(C(-,:[Br,I])(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:[Br,I])(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:[Br,I])-,:[C&X4]),C&$([C&H3]-,:[Br,I]),C&$(C(-,:[Br,I])(=C)-,:[C&X4]),C&$([C&H1](-,:[Br,I])=C),C&$(C(-,:[Br,I])#C),c&$(c-,:[Br,I]):2]>>[C,c:2][C,c:4]|
Mitsunobu_imide - inverse|[O&H1:11]-[C&$(C(-,:O)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:O)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:O)-,:[C&X4]),C&$([C&H3]-,:O):9].[C&$(C(-,:C)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):1][C:2](=[O:3])-[N&H1:4]-[C:5](-,:[C&$(C(-,:C)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):10])=[O:7]>>[C:9][N&+0:4](-[C:2](-,:[C:1])=[O:3])-[C:5](-,:[C:10])=[O:7]|
Mitsunobu_carboxlyic_acid - inverse|[O&H1:8]-[C&$([C&H1](-,:O)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:O)-,:[C&X4,c]),C&$([C&H3]-,:O):6].[O&H1,O&-]-[C&$(C(=O)(-,:O)-,:[C&X4,c]):2]=[O:3]>>[C:6]O-[C:2]=[O:3]|
Mitsunobu_sulfonic_amide - inverse|[N&$([N&H1](-,:S)-,:[C&X4]),N&$([N&H2,N&H3&+]-,:S):9][S&$(S(-,:N)-,:[C&X4]):6](=[O:7])=[O:8].[O&H1:1]-[C&$([C&H1](-,:O)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:O)-,:[C&X4,c]),C&$([C&H3]-,:O):3]>>[C:3][N&+0:9][S:6](=[O:8])=[O:7]|
Heck - inverse|[Br,I:7][C&$([C&X4]-,:[Br,I]),c&$(c-,:[Br,I]):4].[C&$([C&H1](=C)-,:[C&X4]),C&$([C&H2]=C):2]=[C&$(C(=C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](=C)-,:[C&X4]),C&$([C&H2]=C):3]>>[C,c:4][C:2]=[C:3]|
Amide_formation - inverse|[N&$([N&H2,N&H3&+]-,:[C&X4,c]),N&$([N&H1](-,:[C&X4,c])-,:[C&X4,c]):6].[Cl,O&H1,O&-:3][C&$(C(=O)-,:[C&X4,c]),C&$([C&H1]=O):2]=[O:4]>>[N&+0:6]-[C:2]=[O:4]|
Thiolether_formation-Alkene - inverse|[S&H1:4]-[C&X4:5][Br,Cl,I].[C&$(C(=C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](=C)-,:[C&X4]),C&$([C&H2]=C):1]=[C&$(C(=C)(-,:[C&X4])-,:[C&X4]),C&$([C&H1](=C)-,:[C&X4]),C&$([C&H2]=C):2]>>[C:1]-[C:2]-[S:4][C:5]|
Thiolether_formation-Carboxlyic_acid - inverse|[S&H1:4]-[C&X4:5][Br,Cl,I].[C&$(C(=O)-,:[C&X4]),C&$([C&H1]=O):2](=[O:1])[O&H1,Cl,O&-:6]>>[C&H2:2]-[S:4][C:5]|
Ketone_formation - inverse|[C&$(C(=O)(-,:[Cl,O&H1,O&-])-,:[C&X4,c]),C&$([C&H1](-,:[Cl,O&H1,O&-])=O):3](=[O:6])[Cl,O&H1,O&-:5].[I:1][C&$(C(-,:I)(-,:[C&X4,c])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](-,:I)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:I)-,:[C&X4,c]),C&$([C&H3]-,:I):2]>>[C:2]-[C:3]=[O:6]|
Sulfonamide_formation - inverse|[N&H2&+0,N&H3&+:6]-[C&$(C(-,:N)(-,:[C&X4,c])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](-,:N)(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2](-,:N)-,:[C&X4,c]),C&$([C&H3]-,:N),c&$(c-,:N):7].[Cl:5][S&$(S(=O)(=O)(-,:Cl)-,:[C&X4]):2](=[O:3])=[O:4]>>[C,c:7]-[N&H1&+0:6][S:2](=[O:4])=[O:3]|
Ar-Imidazole_formation - inverse|[O&H1,$(OC):13]-[B:12](-[O&H1,$(OC):14])-[c:6]1[c:7][c:8][c:9][c:10][c:11]1.[c:5]1[c:4][n&H1:3][c:2][n:1]1>>[c:4]1[c:5][n:3](-,:[c:2][n:1]1)-[c:6]1[c:7][c:8][c:9][c:10][c:11]1|
Alkyne_alkylation - inverse|[Br,I:4][C&$(C(-,:[C&X4,c])(-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H1](-,:[C&X4,c])-,:[C&X4,c]),C&$([C&H2]-,:[C&X4,c]),C&$([C&H3]),c&$(c):5].[*:1][C:2]#[C&H1:3]>>[C,c:5][C:3]#[C:2][*:1]|
Alkyne_acylation - inverse|[Br,I:4][C&$(C(=O)(-,:[Br,I])-,:[C&X4]),C&$([C&H1](=O)-,:[Br,I]):5]=[O:6].[C&$(C(-,:C)(-,:[C&X4])(-,:[C&X4])-,:[C&X4]),C&$([C&H1](-,:C)(-,:[C&X4])-,:[C&X4]),C&$([C&H2](-,:C)-,:[C&X4]),C&$([C&H3]-,:C):1][C:2]#[C&H1:3]>>[C:1][C:2]#[C:3][C:5]=[O:6]|
